Road ID,Length,Numberof_Bends,Trafficvolume,AccidentRisk
1,2.5,5,200,High
2,3.0,3,150,Medium
3,1.5,2,300,High
4,4.0,6,100,Low
5,2.2,4,250,Medium
6,5.0,7,400,High
7,2.8,3,180,Medium
8,1.8,2,320,High
9,4.5,5,90,Low
10,3.2,4,220,Medium
11,3.5,5,210,Medium
12,2.0,2,330,High
13,6.0,8,450,High
14,2.7,3,170,Medium
15,5.5,6,380,High
16,1.9,2,340,High
17,4.0,4,200,Low
18,3.0,5,230,Medium
19,2.8,3,210,Medium
20,4.2,4,250,Medium
21,3.7,4,180,Medium
22,5.0,7,420,High
23,2.3,3,190,Medium
24,3.0,5,280,High
25,4.5,6,300,High
26,1.5,2,310,High
27,5.2,6,350,High
28,2.0,2,280,Medium
29,3.6,5,230,Medium
30,4.8,7,400,High
31,2.5,3,200,Medium
32,3.9,4,190,Medium
33,5.0,8,350,High
34,1.8,2,340,High
35,4.0,5,250,Medium
36,3.2,4,220,Medium
37,2.8,3,260,High
38,5.4,6,370,High
39,1.7,2,300,High
40,4.1,5,210,Medium
41,2.4,3,200,Medium
42,3.8,4,220,Medium
43,5.0,7,420,High
44,2.2,2,270,Medium
45,4.4,5,320,Medium
46,1.9,2,290,Medium
47,3.5,4,250,Medium
48,5.6,6,360,High
49,2.6,3,230,Medium
50,4.0,5,240,Medium
